manometer_id;name;chainage_m;manometer_elev
Sensor 176;Ring 3973;7326.41;23.52
Sensor 177;Ring 3997;7369.61;23.65
Sensor 178;Ring 4001;7376.81;23.67
Sensor 179;Ring 4025;7420.01;23.80
Sensor 180;Ring 4029;7427.21;23.82
Sensor 181;Ring 4043;7452.41;23.89
Sensor 182;Ring 4047;7459.61;23.91
Sensor 183;Ring 4071;7502.81;24.04
Sensor 184;Ring 4075;7510.01;24.06
Sensor 185;Ring 4079;7517.21;24.08
Sensor 186;Ring 4083;7524.41;24.10
Sensor 187;Ring 4205;7744.01;24.74
Sensor 188;Ring 4209;7751.21;24.77
Sensor 189;Ring 4242;7810.61;24.94
Sensor 190;Ring 4246;7817.81;24.96
Sensor 191;Ring 4301;7916.81;25.25
Sensor 192;Ring 4305;7924.01;25.27
Sensor 193;Ring 4377;8053.61;25.65
Sensor 194;Ring 4381;8060.81;25.67
Sensor 195;Ring 4455;8194.01;26.07
Sensor 196;Ring 4459;8201.21;26.09
Sensor 197;Ring 4499;8273.21;26.30
Sensor 198;Ring 4503;8280.41;26.32
Sensor 199;Ring 4513;8298.41;26.37
Sensor 201;Ring 4517;8305.61;26.39
Sensor 202;Ring 4581;8420.81;26.73
Sensor 203;Ring 4585;8428.01;26.75
Sensor 204;Ring 4637;8521.61;27.03
Sensor 205;Ring 4641;8528.81;27.05
Sensor 206;Ring 4653;8550.41;27.11
Sensor 207;Ring 4657;8557.61;27.13
Sensor 208;Ring 4735;8697.68;27.55
Sensor 209;Ring 4739;8705.50;27.57
Sensor 210;Ring 4793;8802.41;27.85
Sensor 211;Ring 4797;8809.61;27.87
Sensor 212;Ring 4875;8950.01;28.29
Sensor 213;Ring 4879;8957.21;28.31
Sensor 214;Ring 5011;9194.81;29.00
Sensor 215;Ring 5015;9202.01;29.03
Sensor 216;Ring 5077;9313.61;29.35
Sensor 217;Ring 5081;9320.81;29.37
Sensor 222;Ring 5273;9666.41;30.39
Sensor 223;Ring 5277;9673.61;30.41
Sensor 224;Ring 5345;9796.01;30.77
Sensor 225;Ring 5349;9803.21;30.79
Sensor 302;Ring 5621;10292.81;32.23
Sensor 303;Ring 5625;10300.01;32.25
Sensor 304;Ring 5637;10321.61;32.31
Sensor 305;Ring 5641;10328.81;32.33
Sensor 307;Ring 5675;10390.01;32.51
Sensor 308;Ring 5711;10454.81;32.70
Sensor 309;Ring 5715;10462.01;32.73
