area;method;id;partID;x;y;z;lon;lat;depth;height_probe;soil_classification
5;Løsmasseboring;PZ-9064;22164;114082.1;1215744.7;68.1;10.751898;59.936439;9.6;58.5;Over berg, morene
5;Løsmasseboring;PZ-9065;;114075.1;1216107.2;76.5;10.751774;59.939722;13.9;62.6;Over berg, sand/grus
5;Løsmasseboring;PZ-9066;;113635.3;1216169.3;77.9;10.743912;59.940285;18.1;59.8;Over berg, leire sandig
5;Løsmasseboring;PZ-9067;;113168.9;1215913.2;75.3;10.735575;59.937965;6.4;68.9;Over berg, leire sandig
6;Løsmasseboring;PZ-9069;22168;112818.0;1215800.5;95.4;10.729302;59.936945;4.0;91.4;Over berg, sand/grus
6;Løsmasseboring;PZ-9070;;112061.5;1216148.9;75.2;10.715781;59.940100;3.0;72.2;Over steinlag, tørrskorpeleire.
7;Løsmasseboring;PZ-9071;22142;110996.9;1215917.3;65.7;10.696751;59.938002;6.0;59.7;Over berg, leire
7;Løsmasseboring;PZ-9072;22219;109894.2;1216035.8;79.8;10.677040;59.939076;8.7;;Over berg, leire
7;Løsmasseboring;PZ-9073;22170;109625.8;1216469.0;102.9;10.672242;59.943000;4.9;;Over berg, leire
;Løsmasseboring;PZ-9081;;119227.0;1214831.6;;10.843864;59.928167;13.5;72.1;Over berg, leire
;Løsmasseboring;PZ-9082;;118607.8;1215139.7;;10.832796;59.930958;10.8;96.4;
7;Løsmasseboring;PZP10;;110285.2;1215865.1;66.7;10.684029;59.937529;8.3;58.4;Ukjent
7;Løsmasseboring;PZP11;;110455.0;1216027.8;67.7;10.687064;59.939003;9.1;58.6;Ukjent
7;Løsmasseboring;PZP13-1;;110545.5;1216087.5;70.5;10.688682;59.939544;10.6;59.9;Ukjent
7;Løsmasseboring;PZP13-2;;110545.5;1216087.5;70.5;10.688682;59.939544;5.5;65.0;Ukjent
7;Løsmasseboring;PZP14;;111170.6;1216215.1;87.8;10.699855;59.940700;8.6;79.2;Ukjent
7;Løsmasseboring;PZP15;;111395.0;1216112.5;76.5;10.703866;59.939771;2.1;74.4;Ukjent
7;Løsmasseboring;PZP16-1;;111860.0;1216148.0;72.3;10.712178;59.940092;17.4;55.0;Ukjent
